file_name,source_path,file_size_mb,matched_by,matched_keyword
QCDT-GYYHPC 1121-2022.ZY01 调速系统压油装置检修作业指导书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电作业指导书/其他/QCDT-GYYHPC 1121-2022.ZY01 调速系统压油装置检修作业指导书.pdf,0.400,pdf_content,变送器
QCDT-GYYHPC 1121-2022.ZY02 调速系统设备检修作业指导书.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1121-2022.ZY02 调速系统设备检修作业指导书.docx,0.052,docx_content,电磁阀
QCDT-GYYHPC 1121-2022.ZY02 调速系统设备检修作业指导书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电作业指导书/其他/QCDT-GYYHPC 1121-2022.ZY02 调速系统设备检修作业指导书.pdf,0.393,pdf_content,电磁阀
QCDT-GYYHPC 1121-2022.ZY03 调速器系统试验作业指导书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电作业指导书/其他/QCDT-GYYHPC 1121-2022.ZY03 调速器系统试验作业指导书.pdf,0.419,pdf_content,电磁阀
QCDT-GYYHPC 1121-2023.ZY01 调速系统压油装置作业指导书.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修报告/机械班4号机组检修/2023-2024/作业指导书/QCDT-GYYHPC 1121-2023.ZY01 调速系统压油装置作业指导书.docx,0.070,docx_content,仪表+控制
QCDT-GYYHPC 1121-2023.ZY02  调速系统设备作业指导书.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修报告/机械班4号机组检修/2023-2024/作业指导书/QCDT-GYYHPC 1121-2023.ZY02  调速系统设备作业指导书.docx,0.067,docx_content,仪表+控制
QCDT-GYYHPC 1121-2023.ZY03 调速器系统试验作业指导书.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修报告/机械班4号机组检修/2023-2024/作业指导书/QCDT-GYYHPC 1121-2023.ZY03 调速器系统试验作业指导书.docx,0.066,docx_content,仪表+控制
QCDT-GYYHPC 1122-2022 机组技术供水检修规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1122-2022 机组技术供水检修规程.docx,0.065,docx_content,流量计+核
QCDT-GYYHPC 1122-2022 机组技术供水检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1122-2022 机组技术供水检修规程.pdf,0.437,pdf_content,流量计+核
QCDT-GYYHPC 1123-2022 通风空调冷却供水系统检修规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1123-2022 通风空调冷却供水系统检修规程.docx,0.062,docx_content,流量计+核
QCDT-GYYHPC 1124-2022 主变冷却供水系统检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1124-2022 主变冷却供水系统检修规程.pdf,0.430,pdf_content,流量计+核
QCDT-GYYHPC 1128-2022 低压气系统检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1128-2022 低压气系统检修规程.pdf,0.479,pdf_content,变送器
QCDT-GYYHPC 1129-2022.ZY01 中压空压机检修作业指导书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电作业指导书/其他/QCDT-GYYHPC 1129-2022.ZY01 中压空压机检修作业指导书.pdf,0.335,pdf_content,电磁阀
QCDT-GYYHPC 1129-2022中压气系统检修规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1129-2022中压气系统检修规程.docx,0.076,docx_content,仪表+控制
QCDT-GYYHPC 1129-2022中压气系统检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1129-2022中压气系统检修规程.pdf,0.468,pdf_content,仪表+控制
QCDT-GYYHPC 1130-2022 透平油系统检修规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1130-2022 透平油系统检修规程.docx,0.068,docx_content,流量计+核
QCDT-GYYHPC 1130-2022 透平油系统检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1130-2022 透平油系统检修规程.pdf,0.441,pdf_content,流量计+核
QCDT-GYYHPC 1131-2022 通风空调系统检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1131-2022 通风空调系统检修规程.pdf,0.642,pdf_content,电磁阀
QCDT-GYYHPC 1132-2022 主厂房750 160 16T-29.5m桥机检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1132-2022 主厂房750 160 16T-29.5m桥机检修规程.pdf,0.521,pdf_content,仪表+控制
QCDT-GYYHPC 1134-2022 机组快速门及液压系统检修规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1134-2022 机组快速门及液压系统检修规程.docx,0.058,docx_content,电磁阀
